POLO;recursos;alt_media;regiones;region_top;jerarquia_media;diametro_km;radio_km;desnivel_m
146;11;9.454545454545455;2;Ica;1.9090909090909092;57.272151947021484;9.358008880899156;31.0
147;5;2136.6;1;Arequipa;2.0;33.17875289916992;9.818700144698722;801.0
148;9;3411.3333333333335;1;Apurímac;1.5555555555555556;43.5924186706543;16.847419790959695;605.0
149;42;2699.3809523809523;1;Cajamarca;1.8095238095238095;37.76030349731445;8.386095984236276;421.0
150;70;99.37142857142857;1;Loreto;1.6857142857142857;55.52080154418945;6.51855455823544;62.0
151;58;1227.8103448275863;2;Junín;1.5172413793103448;64.56353759765625;21.202999013186908;1085.0
152;8;1729.75;2;Cusco;1.375;62.55671691894531;20.523722405802925;457.0
153;10;2081.3;1;Piura;1.4;50.098785400390625;14.765367137869058;776.0
157;8;1833.0;1;Cajamarca;1.25;52.874847412109375;17.490895261330746;504.0
158;22;3301.818181818182;2;Piura;1.5909090909090908;39.19242858886719;9.278592774460373;874.0
160;5;3781.0;2;Huánuco;1.8;37.06312561035156;11.522362260502641;818.0
161;28;34.535714285714285;1;La Libertad;1.8214285714285714;39.233768463134766;8.095460968898491;217.0
162;7;4295.714285714285;2;Arequipa;1.1428571428571428;54.31008529663086;21.706083294168337;493.0
163;7;4825.0;1;Cusco;1.1428571428571428;22.444961547851562;9.198035673072004;674.0
164;16;3349.0625;2;Ayacucho;1.0;43.058475494384766;12.660930924049424;812.0
165;45;3412.866666666667;1;Lima;2.1555555555555554;56.244873046875;20.164236671729277;662.0
166;10;1894.1;1;Cajamarca;1.4;43.84794235229492;12.43716458140623;947.0
167;25;3338.28;2;Ayacucho;1.44;52.129329681396484;13.488701268104347;900.0
168;9;787.8888888888889;1;Lima;1.6666666666666667;28.005859375;4.726157746503052;648.0
169;14;4160.714285714285;1;Áncash;2.2142857142857144;52.24599075317383;12.399183373662106;941.0
170;11;3616.909090909091;1;Huánuco;1.1818181818181819;48.049320220947266;12.897411678420433;911.0
171;10;4209.4;2;Ayacucho;1.0;64.02368927001953;21.265641395453894;712.0
172;66;3699.1666666666665;1;Junín;1.6818181818181819;61.744693756103516;16.960412165694503;780.0
173;27;2940.259259259259;1;Cusco;2.111111111111111;57.78113555908203;16.112004724326034;772.0
176;9;2099.3333333333335;1;Moquegua;1.4444444444444444;32.270938873291016;5.743765024671842;414.0
177;34;36.470588235294116;1;Arequipa;1.7058823529411764;60.357845306396484;10.613580981335035;331.0
