REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;longitud;latitud;FECHA_DE_CORTE;ALTITUD;DISTANCIA_CAPITAL_KM;INDICE_COSTO_LOGISTICO;ZONA_CLIMATICA
La Libertad;Trujillo;HUANCHACO;96;Complejo Arqueológico Chan Chan;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=96;-79.0696308016777;-8.097624182657944;20260831;36.0;5.45;1;Cálido / Desértico (Costa)
La Libertad;Trujillo;LA ESPERANZA;99;Huaca Arco Iris ;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=99;-79.04894178769683;-8.076912452669033;20260831;80.0;4.68;1;Cálido / Desértico (Costa)
Áncash;Huaylas;CARAZ;100;Sitio Arqueológico De Tumshukaiko;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=100;-77.81460725396727;-9.037916222714118;20260831;2326.0;62.91;2;Templado Seco (Quechua)
La Libertad;Trujillo;TRUJILLO;101;Basílica Menor Catedral De Santa María - Catedral De Trujillo;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Basílica;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=101;-79.02834624052048;-8.110903949280678;20260831;38.0;0.78;1;Cálido / Desértico (Costa)
La Libertad;Santiago De Chuco;QUIRUVILCA;104;Cuento La Laguna Del Toro;3. FOLCLORE;Creencias Populares;Cuentos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=104;-79.0335;-8.1095;20260831;33.0;1.32;1;Cálido / Desértico (Costa)
La Libertad;Ascope;MAGDALENA DE CAO;109;Complejo Arqueológico El Brujo;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=109;-79.30524200000002;-7.911121903706125;20260831;17.0;38.22;2;Cálido / Desértico (Costa)
La Libertad;Trujillo;TRUJILLO;113;Casa Urquiaga O Calonge;2. MANIFESTACIONES CULTURALES;Museos y otros;Casas Museo;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=113;-79.02814105153084;-8.112335195695051;20260831;34.0;0.81;1;Cálido / Desértico (Costa)
La Libertad;Trujillo;MOCHE;114;Huacas Del Sol Y La Luna;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Zonas arqueológicas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=114;-78.99200865029718;-8.13636524168037;20260831;32.0;4.44;1;Cálido / Desértico (Costa)
La Libertad;Trujillo;HUANCHACO;115;Balneario De Huanchaco;1. SITIOS NATURALES;l. Costas;Playas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=115;-79.1215717792511;-8.07869026497998;20260831;0.0;11.52;1;Cálido / Desértico (Costa)
La Libertad;Trujillo;TRUJILLO;118;Plaza Mayor De Trujillo;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Plazas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=118;-79.028624;-8.111469;20260831;38.0;0.83;1;Cálido / Desértico (Costa)
La Libertad;Trujillo;TRUJILLO;120;Museo De Arqueologia, Antropologia E Historia De La Universidad Nacional De Trujillo (Casa Risco);2. MANIFESTACIONES CULTURALES;Museos y otros;Museos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=120;-79.02426391839981;-8.1108853616314;20260831;41.0;0.36;1;Cálido / Desértico (Costa)
La Libertad;Trujillo;HUANCHACO;122;Museo De Sitio Chan Chan;2. MANIFESTACIONES CULTURALES;Museos y otros;Museos de sitio;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=122;-79.0656423575274;-8.10011712627256;20260831;35.0;4.96;1;Cálido / Desértico (Costa)
La Libertad;Pacasmayo;GUADALUPE;125;Complejo Arqueológico De Pakatnamú;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=125;-79.5819;-7.3151;20260831;43.0;107.74;3;Cálido / Desértico (Costa)
