CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
11463;Cascada De Huarapal.;Tumbes;-3.779176502304472;-80.34736634664537;143.0;Cálido / Desértico (Costa);34;1
10215;Cascadas De Ticlio - Vadopaccha;Junín;-11.8693757;-75.9945823;4580.0;Muy Frío (Puna);48;8
10216;Lagunas De Quero;Junín;-11.6586596;-75.3821674;4376.0;Muy Frío (Puna);-1;0
13866;Laguna De Yaulicocha;Junín;-12.1813106;-75.0622168;4266.0;Muy Frío (Puna);-1;0
12690;Bosque De Puyas Raimondi - Huaso;La Libertad;-8.114096921119886;-78.48864230213263;3136.0;Templado Seco (Quechua);45;13
10220;Mirador De Jerusalén;Junín;-11.7920619;-75.937571;4334.0;Muy Frío (Puna);48;8
13787;Casa Museo De La Flor Pucarina;Junín;-12.1727022;-75.1418121;3346.0;Templado Seco (Quechua);26;15
10224;Laguna De Lacsacocha;Junín;-11.782594;-76.018872;4628.0;Muy Frío (Puna);48;8
10225;Laguna De Quiullacocha;Junín;-11.68007;-75.92964;4575.0;Muy Frío (Puna);48;8
10226;Fundición De Callapampa;Junín;-11.754776;-75.989071;4212.0;Muy Frío (Puna);48;8
10241;Catarata De Carispaccha;Junín;-11.417;-76.296;4254.0;Muy Frío (Puna);48;8
10242;Campo De Batalla De Sangrar;Junín;-11.491;-76.313;4443.0;Muy Frío (Puna);48;8
10243;Laguna De Marcapomacocha;Junín;-11.4;-76.347;4414.0;Muy Frío (Puna);48;8
10244;Iglesia Matriz De Marcapomacocha;Junín;-11.406;-76.336;4416.0;Muy Frío (Puna);48;8
10249;Piscina Natural De Palmapata;Junín;-11.1840636;-75.3569745;1439.0;Templado Cálido (Yunga);-1;26
13303;Glaciar Chuecón;Lima;-11.94301;-76.06874;4907.0;Glacial / Nieve (Janca);48;8
13285;Laguna Colquepucro;Lima;-11.98061;-76.04368;4554.0;Muy Frío (Puna);48;8
12680;Pinturas Rupestres De Chinchinvara;La Libertad;-8.23031966826698;-78.37041104235479;3548.0;Frío (Suni);45;5
14245;Playa Del Puente La Auvernia;Junín;-11.106667;-75.38527799999997;883.0;Templado Cálido (Yunga);61;26
10256;Iglesia Y Torres Excenta De San Cristóbal De Rapaz   ;Lima;-10.87399;-76.70454;4007.0;Muy Frío (Puna);48;8
10262;Jardín Etnobotánico Semilla Bendita;Junín;-11.135278;-75.38111100000003;930.0;Templado Cálido (Yunga);61;26
10263;Plaza Mayor De San Ramón;Junín;-11.1213386614527;-75.35205960273744;820.0;Templado Cálido (Yunga);61;26
10264;Casa Hacienda Palmapampa;Junín;-11.081269;-75.385389;1237.0;Templado Cálido (Yunga);-1;26
10265;Comunidad Nativa Shipibo Konibo Shawan Rama;Junín;-11.106389;-75.328889;944.0;Templado Cálido (Yunga);61;26
13910;Formaciones Rocosas De Pichjapuquio;Junín;-11.6771887;-75.5305266;3805.0;Frío (Suni);73;0
13724;Cascada De Pacapaccha;Junín;-11.6910576;-75.5281259;3622.0;Frío (Suni);73;0
13484;Caverna De Mama Huari;Junín;-11.5380822;-75.6538349;4025.0;Muy Frío (Puna);73;0
13611;Zona Arqueològica Monumental Cerro Ampugasa;Lima;-12.065072;-76.27431;4533.0;Muy Frío (Puna);48;8
13284;Laguna Piticocha;Lima;-12.06276;-76.03589;4392.0;Muy Frío (Puna);48;8
12844;Plaza De Armas De Yarinacocha;Ucayali;-8.3547869;-74.5757904;156.0;Tropical Húmedo (Selva);9;25
14509;Aguajales De Panaillo;Ucayali;-8.235562;-74.706382;158.0;Tropical Húmedo (Selva);-1;19
12721;Balneario San José;Ucayali;-8.3385097;-74.5943398;153.0;Tropical Húmedo (Selva);9;25
10950;Comunidad Nativa Puerto Firmeza;Ucayali;-8.254840058781268;-74.65936712400895;157.0;Tropical Húmedo (Selva);9;25
12628;Caño Pacacocha;Ucayali;-8.311267;-74.569988;141.0;Tropical Húmedo (Selva);9;25
10294;Las Cascadas Del Fundo San Isidro;Junín;-10.95608;-75.05143;1104.0;Templado Cálido (Yunga);61;26
10949;Comunidad Nativa Santa Teresita;Ucayali;-8.355573;-74.669483;151.0;Tropical Húmedo (Selva);9;25
12601;Complejo Ceremonial De Mallku Amantiñani    ;Puno;-16.052341733227596;-69.69253886032715;3882.0;Frío (Suni);30;12
12381;Iglesia San Juan Bautista;Áncash;-8.253469068217704;-77.99902150993982;3133.0;Templado Seco (Quechua);49;28
12382;Cascada De Aguaytoro;Áncash;-8.252133;-77.958579;3440.0;Templado Seco (Quechua);49;28
13101;Montaña Winikunka - Sector Cusipata ;Cusco;-13.864319;-71.30285926579955;4976.0;Glacial / Nieve (Janca);-1;3
14257;Mirador Natural Piedras Coloradas;Piura;-4.48452934;-80.75883387;473.0;Cálido / Desértico (Costa);53;10
13707;Humedal De Huasao;Cusco;-13.59059946356;-71.63045167922;4309.0;Muy Frío (Puna);-1;23
10308;Laguna De Humantay;Cusco;-13.383102;-72.57277213205577;4173.0;Muy Frío (Puna);-1;23
10304;Laguna Singrenacocha Sector Marcapata;Cusco;-13.65579081895;-71.16086315123;4343.0;Muy Frío (Puna);74;3
13186;Alameda 28 De Julio;La Libertad;-7.399965821491;-79.5672654346;7.0;Cálido / Desértico (Costa);46;10
10320;Mirador Del Cristo Redentor ;La Libertad;-7.39711;-79.57037;10.0;Cálido / Desértico (Costa);46;10
11072;Paseo De La Paz;La Libertad;-7.4001337;-79.5668791;6.0;Cálido / Desértico (Costa);46;10
10330;Iglesia Nuestra Señora De Guadalupe De Pacasmayo;La Libertad;-7.39997;-79.57186;0.0;Cálido / Desértico (Costa);46;10
13132;Plaza De Armas De Pacasmayo;La Libertad;-7.40112219;-79.57225588;10.0;Cálido / Desértico (Costa);46;10
13131;Plazuela Grau De Pacasmayo;La Libertad;-7.399769119741472;-79.57211979259031;0.0;Cálido / Desértico (Costa);46;10
11475;Cañon De Huagtahuaru;Áncash;-9.867778;-76.90472199999999;3457.0;Templado Seco (Quechua);62;5
10340;Laguna Azulcocha;Huánuco;-8.681646543615345;-77.1445004561952;4177.0;Muy Frío (Puna);49;28
10339;Laguna Chinchaycocha;Huánuco;-8.641361;-77.056764;3705.0;Frío (Suni);49;28
10342;Sitio Arqueológico De Magampatay;Huánuco;-9.180833;-76.7515;2699.0;Templado Seco (Quechua);-1;28
10345;Sitio Arqueológico De Tambo;Huánuco;-9.165806;-76.746528;3309.0;Templado Seco (Quechua);-1;28
10346;Sitio Arqueológico Mariagan;Huánuco;-9.202417;-76.721306;3273.0;Templado Seco (Quechua);-1;28
10352;Malecón Vuelta Al Mundo;Huánuco;-9.547286111111111;-76.81301944444444;3430.0;Templado Seco (Quechua);62;5
10350;Catarata Ocho De Agosto;Huánuco;-9.309416666666667;-76.45922222222222;1097.0;Templado Cálido (Yunga);33;19
10344;Baños Termales De Conoc;Huánuco;-9.798364;-76.804869;3165.0;Templado Seco (Quechua);62;5
