POLO;recursos;jerarquia;lejania;region;regiones;saturacion;novedad;limpio;s;puntaje
177;34;1.7058823529411764;34;AREQUIPA;1;0.0;0.5641592920353983;True;0.4856678069457872;0.3810124934929724
188;19;1.736842105263158;19;ÁNCASH;1;0.0;0.5309734513274337;True;0.46641825803446674;0.3803446669771774
38;31;1.7096774193548387;31;PUNO;1;0.0;0.5575221238938053;True;0.4815097263570001;0.38015986297459314
259;17;2.235294117647059;17;LIMA;1;1.0;0.02654867256637168;False;0.1774076002082249;0.3785528370640291
74;8;1.75;8;AMAZONAS;2;0.0;0.5066371681415929;True;0.4510745891276864;0.3769911504424778
77;8;1.75;8;JUNÍN;1;0.0;0.5066371681415929;True;0.4510745891276864;0.3769911504424778
165;45;2.1555555555555554;45;LIMA;1;1.0;0.08849557522123894;False;0.21051833122629582;0.37321533923303823
232;11;1.7272727272727273;11;PUNO;1;0.0;0.5132743362831859;True;0.4527985289047236;0.37216411906677394
40;17;1.7058823529411764;17;AREQUIPA;2;0.0;0.5265486725663717;True;0.4593403733174686;0.3697293076522644
238;9;2.2222222222222223;9;LIMA;1;1.0;0.008849557522123894;False;0.16333754740834389;0.3693215339233038
70;44;2.1363636363636362;44;LIMA;1;1.0;0.08628318584070796;False;0.20650212619239167;0.3667940466613032
101;7;1.7142857142857142;7;SAN MARTÍN;1;0.0;0.504424778761062;True;0.44493407982662087;0.3656131479140328
31;231;1.6623376623376624;231;LIMA;3;0.8961038961038961;0.551948051948052;False;0.4715213358070501;0.36428571428571427
122;16;1.6875;16;PIURA;1;0.0;0.5243362831858407;True;0.4554282553729456;0.36355088495575216
211;10;1.7;10;TACNA;1;0.0;0.5110619469026548;True;0.4477433628318584;0.3633185840707964
45;10;1.7;10;LORETO;1;0.0;0.5110619469026548;True;0.4477433628318584;0.3633185840707964
47;13;1.6923076923076923;13;SAN MARTÍN;1;0.0;0.5176991150442478;True;0.4514003695419625;0.363002042205582
258;13;1.6923076923076923;13;SAN MARTÍN;1;0.0;0.5176991150442478;True;0.4514003695419625;0.363002042205582
4;17;2.176470588235294;17;CUSCO;1;1.0;0.02654867256637168;False;0.16984457499814085;0.36090577824049963
0;44;1.6136363636363635;44;HUÁNUCO;2;0.0;0.5862831858407079;True;0.4892943339845994;0.35997586484312144
96;51;1.588235294117647;51;PASCO;1;0.0;0.6017699115044248;True;0.4968691901539377;0.3570015616866215
227;12;2.1666666666666665;12;CUSCO;1;1.0;0.015486725663716814;False;0.16084070796460176;0.35464601769911497
189;9;1.6666666666666667;9;LORETO;1;0.0;0.5088495575221239;True;0.44190897597977247;0.3526548672566372
72;17;1.6470588235294117;17;ÁNCASH;1;0.0;0.5265486725663717;True;0.4517773481073845;0.35208224882873496
230;6;1.6666666666666667;6;HUÁNUCO;1;0.0;0.5022123893805309;True;0.43726295828065737;0.3506637168141593
18;33;1.6666666666666667;33;APURÍMAC;2;0.12121212121212122;0.5013408420488067;False;0.4366528751484504;0.350402252614642
98;74;1.5135135135135136;74;AYACUCHO;1;0.0;0.6526548672566371;True;0.522881573102812;0.3498505142310452
173;27;2.111111111111111;27;CUSCO;1;1.0;0.048672566371681415;False;0.17692793931731987;0.34793510324483773
46;48;1.5625;48;PUNO;1;0.0;0.5951327433628318;True;0.48891434892541086;0.34728982300884953
94;34;1.588235294117647;34;JUNÍN;1;0.0;0.5641592920353983;True;0.47054175652561914;0.3457183758459136
103;7;2.142857142857143;7;CUSCO;1;1.0;0.004424778761061947;False;0.15003612064294747;0.3441845764854614
204;35;1.6285714285714286;35;PASCO;2;0.11428571428571428;0.509228824273072;False;0.4372765035217626;0.34134007585335013
151;58;1.5172413793103448;58;JUNÍN;2;0.0;0.6172566371681416;True;0.49858210907188627;0.3403494049435459
86;58;1.5172413793103448;58;SAN MARTÍN;2;0.0;0.6172566371681416;True;0.49858210907188627;0.3403494049435459
65;13;1.6153846153846154;13;HUÁNUCO;2;0.0;0.5176991150442478;True;0.4415102596518526;0.33992511912865897
158;22;1.5909090909090908;22;PIURA;2;0.0;0.5376106194690266;True;0.4523014596023445;0.33855591311343525
50;33;1.5454545454545454;33;HUÁNUCO;1;0.0;0.5619469026548672;True;0.4634927019882772;0.3322204344328238
8;23;1.565217391304348;23;ÁNCASH;2;0.0;0.5398230088495575;True;0.4505469136481064;0.3315121200461716
37;27;1.5555555555555556;27;ÁNCASH;1;0.0;0.5486725663716814;True;0.4554993678887484;0.33126843657817107
206;5;1.6;5;TACNA;2;0.0;0.5;True;0.42714285714285716;0.33
120;12;1.5833333333333333;12;AREQUIPA;1;0.0;0.5154867256637168;True;0.4358407079646017;0.329646017699115
217;13;2.076923076923077;13;LIMA;1;1.0;0.017699115044247787;False;0.15085091899251196;0.3283866575901974
