CLUSTER;n;alt;la;lo;regs;top;radio_km
24;53;2817.490566037736;-13.141704390320431;-74.21827338018173;1;Ayacucho;5.137191253515
25;20;3721.55;-12.779632196159033;-74.96764505404467;1;Huancavelica;2.46724148072751
26;89;3319.8651685393256;-12.071647341329252;-75.22922849590172;1;Junín;9.41361826699937
27;49;279.46938775510205;-17.6444085254774;-71.0631782252659;3;Moquegua;41.40280416691347
28;56;153.83928571428572;-12.050031332813584;-77.03211603669031;1;Lima;0.7950792876955772
29;49;76.10204081632654;-12.131013211393375;-77.02761142711279;1;Lima;1.8462092033182185
30;103;3894.7961165048546;-15.763335375086884;-69.80882748806812;1;Puno;47.58253915570975
31;57;2765.9122807017543;-16.813017550086297;-70.88958280729264;3;Moquegua;58.495961743239135
32;31;89.16129032258064;-13.909391157917328;-76.09240478745431;1;Ica;37.80847174411897
33;41;882.1463414634146;-9.327307449003973;-76.12230541763591;1;Huánuco;20.055355524825764
34;33;88.42424242424242;-3.7943265658449383;-80.59717336620331;1;Tumbes;25.415737076682717
35;23;39.82608695652174;-11.666995142396301;-77.21404673243089;2;Lima;13.911915828389814
36;53;45.735849056603776;-12.381187242245584;-76.79883949400957;1;Lima;20.825532541473684
37;35;54.77142857142857;-6.487247207968555;-79.84474786866515;1;Lambayeque;8.219768828209492
38;20;68.1;-6.88943435369544;-79.59004600813321;1;Lambayeque;6.082195605627249
39;17;103.94117647058823;-5.02858812805733;-80.22069708134032;1;Piura;16.2138685081607
40;35;19.257142857142856;-5.047874631055151;-81.07195604275698;1;Piura;17.228870490807616
41;59;209.28813559322035;-12.992497604438187;-76.33454716861615;2;Lima;29.898343551458716
42;42;39.785714285714285;-11.017532859097189;-77.63947344567734;1;Lima;14.026575529312728
43;21;2.9523809523809526;-9.985963862575364;-78.20003922953605;1;Áncash;7.230592603743377
44;20;27.6;-9.122200509286355;-78.5599412871796;1;Áncash;13.501829053271809
45;125;2759.496;-7.110769186037736;-78.40583699303154;3;Cajamarca;74.33496112482881
46;29;33.3448275862069;-7.36424936437682;-79.5448495720909;1;La Libertad;8.625253683722178
47;17;153.76470588235293;-5.601128979215197;-76.27558413732022;1;Loreto;55.222917539913006
48;204;4058.5588235294117;-11.647090047683136;-76.16041981910148;3;Lima;69.16668424327534
49;76;3420.2105263157896;-8.147075038322308;-77.88619498647107;5;La Libertad;42.581843405750206
50;22;35.27272727272727;-15.543361695742574;-74.79036262459309;2;Arequipa;44.0028886432001
51;30;395.96666666666664;-12.68862464211195;-70.73602801922199;3;Madre De Dios;78.35495142860515
52;16;552.375;-16.153329091433747;-72.4783794371021;1;Arequipa;7.878079371571473
53;33;62.72727272727273;-4.321708919129763;-81.06740015961829;2;Piura;31.754414384497714
54;59;941.0508474576271;-6.014119186983341;-77.15751143872842;1;San Martín;21.459253891211322
55;122;2062.8934426229507;-5.129162143437727;-79.44933876548951;3;Piura;40.489363756947256
56;15;14.866666666666667;-16.629152856134873;-72.70867668805138;1;Arequipa;7.156115193096044
57;34;18.470588235294116;-17.071748529437997;-71.94647586003387;1;Arequipa;11.43343001811483
58;21;357.2857142857143;-7.289467301495044;-76.8218643158021;1;San Martín;15.751696503463052
59;24;357.5833333333333;-11.474597328280922;-72.99386704255954;2;Cusco;37.57383458149972
60;51;475.27450980392155;-9.330458114110394;-75.43811584292769;4;Huánuco;72.11898511582822
61;81;816.4567901234568;-11.135870985600775;-74.84965788890281;2;Junín;37.18661740694377
62;234;3673.5555555555557;-9.732060143626375;-76.9974749328878;3;Áncash;74.50102284756454
63;23;1120.695652173913;-12.799848974530908;-72.70012264283082;1;Cusco;12.734807048543933
64;87;916.2873563218391;-12.580971047586207;-73.71649409655173;2;Cusco;22.9066966561948
65;41;1821.7560975609756;-10.569501305279552;-75.42607797749928;1;Pasco;4.9533105828223905
66;23;1506.2173913043478;-10.737210035518205;-75.2664580809032;2;Pasco;1.3239453231819238
67;26;3558.4615384615386;-16.334210390267963;-70.74390325423693;1;Moquegua;10.007273794677415
68;68;3195.735294117647;-11.857243389664653;-76.47700013941713;1;Lima;24.031928265856365
69;46;3890.195652173913;-16.354334893326175;-69.15420480036043;1;Puno;23.981495466285498
